rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,stim,noise,action,scramble,communicative,trial_number,index,workerId,interview_date,response,confidence
1380.9,"<p style=""font-size:26px;""> Hello and thank you for taking part in our experiment! </p><p style=""font-size:24px;""> The experiment consist of a Human Detection Task followed by some questionnaires, and it takes around 30 minutes to complete. </p><p style=""font-size:22px;""> <i> Press the spacebar to continue. </i> </p>",32,html-keyboard-response,0,1384,0.0-0.0,,,,,,,,,,,
1893,"<p style=""font-size:26px;""> Please ensure the following: </p><p style=""font-size:22px;""> (1) You are in a room with no distractions (no people, music, phones, etc.), </p><p style=""font-size:22px;""> (2) For the next 30 minutes, you will be able to stay focused on the task and questionnaires, </p><p style=""font-size:22px;""> As the study progresses, you may find that you start to feel tired. Please do your best to stay focused throughout, since our research depends on it! </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>",32,html-keyboard-response,1,3278,0.0-1.0,,,,,,,,,,,
15985.2,"<p style=""font-size:26px;""> Human Detection Task </p><p style=""font-size:22px;""> In this task, you will see a series of videos containing one or two people. </p><p style=""font-size:22px;""> In half of the videos there will be two people -one on each side of the screen-, but one person will be masked with moving dots. </p><p style=""font-size:22px;""> For the other half of the videos there will be only one person on one side, and on the other side there will be only moving  dots. </p><p style=""font-size:22px;""> In the next screen, you will see three example videos with two people. One person will be masked with few moving dots. You do not need to do anything now, just see. </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>",32,html-keyboard-response,2,19264,0.0-2.0,,,,,,,,,,,
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,3,20279,0.0-3.0-0.0,stim/practice/noi001_act01_scr0_con1_tri005.mp4,1,1,0,1,5,,,,,
null,,null,video-keyboard-response,4,25449,0.0-3.0-1.0,stim/practice/noi001_act01_scr0_con1_tri005.mp4,1,1,0,1,5,,,,,
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,5,26453,0.0-3.0-0.1,stim/practice/noi001_act08_scr0_con0_tri042.mp4,1,8,0,0,42,,,,,
null,,null,video-keyboard-response,6,32182,0.0-3.0-1.1,stim/practice/noi001_act08_scr0_con0_tri042.mp4,1,8,0,0,42,,,,,
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,7,33192,0.0-3.0-0.2,stim/practice/noi001_act05_scr0_con1_tri016.mp4,1,5,0,1,16,,,,,
null,,null,video-keyboard-response,8,39396,0.0-3.0-1.2,stim/practice/noi001_act05_scr0_con1_tri016.mp4,1,5,0,1,16,,,,,
12363.9,"<p style=""font-size:26px;""> Human Detection Task </p><p style=""font-size:22px;""> In these videos you should have seen two people, one on each side of the screen. </p><p style=""font-size:22px;""> As you may have noticed, one of the human shapes had extra moving dots and less dots conforming the human shape. But you are still able to idenfity a human form. </p><p style=""font-size:22px;""> In the next screen, you will see three example videos with only one person on one side, and on the other side you will only see moving dots. </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>",32,html-keyboard-response,9,51761,0.0-4.0,,,,,,,,,,,
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,10,52774,0.0-5.0-0.0,stim/practice/noi001_act06_scr1_con1_tri029.mp4,1,6,1,1,29,,,,,
null,,null,video-keyboard-response,11,57928,0.0-5.0-1.0,stim/practice/noi001_act06_scr1_con1_tri029.mp4,1,6,1,1,29,,,,,
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,12,58942,0.0-5.0-0.1,stim/practice/noi001_act08_scr1_con0_tri003.mp4,1,8,1,0,3,,,,,
null,,null,video-keyboard-response,13,64666,0.0-5.0-1.1,stim/practice/noi001_act08_scr1_con0_tri003.mp4,1,8,1,0,3,,,,,
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,14,65679,0.0-5.0-0.2,stim/practice/noi001_act10_scr1_con0_tri011.mp4,1,10,1,0,11,,,,,
null,,null,video-keyboard-response,15,71883,0.0-5.0-1.2,stim/practice/noi001_act10_scr1_con0_tri011.mp4,1,10,1,0,11,,,,,
21228,"<p style=""font-size:26px;""> Human Detection Task </p><p style=""font-size:22px;""> Your job will be to detect if there is a person within the moving dots part of the screen. </p><p style=""font-size:22px;""> For each video, please report as accurately as possible whether you saw two people or only one. </p><p style=""font-size:22px;""> Press ""J"" for saying ""Yes, I saw a second person"". </p><p style=""font-size:22px;""> Press ""F"" to say ""No, I did not see a second person"". </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>",32,html-keyboard-response,16,93111,0.0-6.0,,,,,,,,,,,
19488.3,"<p style=""font-size:22px;""> After detecting (""J"") or not detecting (""F"") the second person, you will be asked how confident you were with your choice. </p><p style=""font-size:22px;""> Press 1, 2, 3, 4, or 5 on your keyboard to rate your confidence level, where 1 is not confident at all and 5 is very confident. </p><p style=""font-size:22px;""> The task consist in 72 test videos, which will not be as easy as the example videos that you just saw. </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>",32,html-keyboard-response,17,112599,0.0-7.0,,,,,,,,,,,
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,18,113613,0.0-8.0-0.0,stim/test/noi010_act10_scr1_con1_tri010.mp4,10,10,1,1,10,,,,,
null,,null,video-keyboard-response,19,119816,0.0-8.0-1.0,stim/test/noi010_act10_scr1_con1_tri010.mp4,10,10,1,1,10,,,,,
3001.2,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,20,122817,0.0-8.0-2.0,stim/test/noi010_act10_scr1_con1_tri010.mp4,10,10,1,1,10,1,A11F3MA5FWH6SJ,10/03/2023,no,
2885.4,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",50,html-keyboard-response,21,125705,0.0-8.0-3.0,stim/test/noi010_act10_scr1_con1_tri010.mp4,10,10,1,1,10,1,A11F3MA5FWH6SJ,10/03/2023,,2
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,22,126713,0.0-8.0-0.1,stim/test/noi005_act01_scr1_con0_tri002.mp4,5,1,1,0,2,,,,,
null,,null,video-keyboard-response,23,131874,0.0-8.0-1.1,stim/test/noi005_act01_scr1_con0_tri002.mp4,5,1,1,0,2,,,,,
5971.6,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,24,137846,0.0-8.0-2.1,stim/test/noi005_act01_scr1_con0_tri002.mp4,5,1,1,0,2,2,A11F3MA5FWH6SJ,10/03/2023,no,
1929.2,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,25,139776,0.0-8.0-3.1,stim/test/noi005_act01_scr1_con0_tri002.mp4,5,1,1,0,2,2,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,26,140791,0.0-8.0-0.2,stim/test/noi020_act03_scr1_con1_tri024.mp4,20,3,1,1,24,,,,,
null,,null,video-keyboard-response,27,146516,0.0-8.0-1.2,stim/test/noi020_act03_scr1_con1_tri024.mp4,20,3,1,1,24,,,,,
4530.8,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,28,151048,0.0-8.0-2.2,stim/test/noi020_act03_scr1_con1_tri024.mp4,20,3,1,1,24,3,A11F3MA5FWH6SJ,10/03/2023,no,
927.4,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",50,html-keyboard-response,29,151976,0.0-8.0-3.2,stim/test/noi020_act03_scr1_con1_tri024.mp4,20,3,1,1,24,3,A11F3MA5FWH6SJ,10/03/2023,,2
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,30,152991,0.0-8.0-0.3,stim/test/noi020_act05_scr1_con0_tri036.mp4,20,5,1,0,36,,,,,
null,,null,video-keyboard-response,31,159195,0.0-8.0-1.3,stim/test/noi020_act05_scr1_con0_tri036.mp4,20,5,1,0,36,,,,,
485.7,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,32,159681,0.0-8.0-2.3,stim/test/noi020_act05_scr1_con0_tri036.mp4,20,5,1,0,36,4,A11F3MA5FWH6SJ,10/03/2023,no,
1422.9,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,33,161104,0.0-8.0-3.3,stim/test/noi020_act05_scr1_con0_tri036.mp4,20,5,1,0,36,4,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,34,162117,0.0-8.0-0.4,stim/test/noi010_act03_scr0_con0_tri011.mp4,10,3,0,0,11,,,,,
null,,null,video-keyboard-response,35,167846,0.0-8.0-1.4,stim/test/noi010_act03_scr0_con0_tri011.mp4,10,3,0,0,11,,,,,
1352.6,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,36,169199,0.0-8.0-2.4,stim/test/noi010_act03_scr0_con0_tri011.mp4,10,3,0,0,11,5,A11F3MA5FWH6SJ,10/03/2023,no,
1592.1,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,37,170792,0.0-8.0-3.4,stim/test/noi010_act03_scr0_con0_tri011.mp4,10,3,0,0,11,5,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,38,171799,0.0-8.0-0.5,stim/test/noi020_act10_scr0_con1_tri023.mp4,20,10,0,1,23,,,,,
null,,null,video-keyboard-response,39,178007,0.0-8.0-1.5,stim/test/noi020_act10_scr0_con1_tri023.mp4,20,10,0,1,23,,,,,
2391.9,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,40,180399,0.0-8.0-2.5,stim/test/noi020_act10_scr0_con1_tri023.mp4,20,10,0,1,23,6,A11F3MA5FWH6SJ,10/03/2023,yes,
1279.6,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,41,181679,0.0-8.0-3.5,stim/test/noi020_act10_scr0_con1_tri023.mp4,20,10,0,1,23,6,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,42,182688,0.0-8.0-0.6,stim/test/noi005_act08_scr1_con1_tri008.mp4,5,8,1,1,8,,,,,
null,,null,video-keyboard-response,43,188411,0.0-8.0-1.6,stim/test/noi005_act08_scr1_con1_tri008.mp4,5,8,1,1,8,,,,,
1811.6,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,44,190223,0.0-8.0-2.6,stim/test/noi005_act08_scr1_con1_tri008.mp4,5,8,1,1,8,7,A11F3MA5FWH6SJ,10/03/2023,no,
856,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,45,191080,0.0-8.0-3.6,stim/test/noi005_act08_scr1_con1_tri008.mp4,5,8,1,1,8,7,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,46,192088,0.0-8.0-0.7,stim/test/noi010_act06_scr0_con1_tri031.mp4,10,6,0,1,31,,,,,
null,,null,video-keyboard-response,47,197249,0.0-8.0-1.7,stim/test/noi010_act06_scr0_con1_tri031.mp4,10,6,0,1,31,,,,,
685.6,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,48,197935,0.0-8.0-2.7,stim/test/noi010_act06_scr0_con1_tri031.mp4,10,6,0,1,31,8,A11F3MA5FWH6SJ,10/03/2023,yes,
216.3,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",50,html-keyboard-response,49,198152,0.0-8.0-3.7,stim/test/noi010_act06_scr0_con1_tri031.mp4,10,6,0,1,31,8,A11F3MA5FWH6SJ,10/03/2023,,2
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,50,199165,0.0-8.0-0.8,stim/test/noi005_act10_scr0_con0_tri003.mp4,5,10,0,0,3,,,,,
null,,null,video-keyboard-response,51,205365,0.0-8.0-1.8,stim/test/noi005_act10_scr0_con0_tri003.mp4,5,10,0,0,3,,,,,
1298.6,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,52,206664,0.0-8.0-2.8,stim/test/noi005_act10_scr0_con0_tri003.mp4,5,10,0,0,3,9,A11F3MA5FWH6SJ,10/03/2023,yes,
678.2,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,53,207343,0.0-8.0-3.8,stim/test/noi005_act10_scr0_con0_tri003.mp4,5,10,0,0,3,9,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,54,208356,0.0-8.0-0.9,stim/test/noi005_act06_scr1_con0_tri038.mp4,5,6,1,0,38,,,,,
null,,null,video-keyboard-response,55,213524,0.0-8.0-1.9,stim/test/noi005_act06_scr1_con0_tri038.mp4,5,6,1,0,38,,,,,
563.2,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,56,214087,0.0-8.0-2.9,stim/test/noi005_act06_scr1_con0_tri038.mp4,5,6,1,0,38,10,A11F3MA5FWH6SJ,10/03/2023,no,
1807.7,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,57,215895,0.0-8.0-3.9,stim/test/noi005_act06_scr1_con0_tri038.mp4,5,6,1,0,38,10,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,58,216904,0.0-8.0-0.10,stim/test/noi020_act06_scr0_con0_tri001.mp4,20,6,0,0,1,,,,,
null,,null,video-keyboard-response,59,222057,0.0-8.0-1.10,stim/test/noi020_act06_scr0_con0_tri001.mp4,20,6,0,0,1,,,,,
798.3,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,60,222856,0.0-8.0-2.10,stim/test/noi020_act06_scr0_con0_tri001.mp4,20,6,0,0,1,11,A11F3MA5FWH6SJ,10/03/2023,no,
1590.7,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,61,224448,0.0-8.0-3.10,stim/test/noi020_act06_scr0_con0_tri001.mp4,20,6,0,0,1,11,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,62,225455,0.0-8.0-0.11,stim/test/noi005_act05_scr1_con0_tri025.mp4,5,5,1,0,25,,,,,
null,,null,video-keyboard-response,63,231661,0.0-8.0-1.11,stim/test/noi005_act05_scr1_con0_tri025.mp4,5,5,1,0,25,,,,,
5610,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,64,237272,0.0-8.0-2.11,stim/test/noi005_act05_scr1_con0_tri025.mp4,5,5,1,0,25,12,A11F3MA5FWH6SJ,10/03/2023,no,
2598.8,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,65,239871,0.0-8.0-3.11,stim/test/noi005_act05_scr1_con0_tri025.mp4,5,5,1,0,25,12,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,66,240881,0.0-8.0-0.12,stim/test/noi010_act01_scr1_con0_tri016.mp4,10,1,1,0,16,,,,,
null,,null,video-keyboard-response,67,246032,0.0-8.0-1.12,stim/test/noi010_act01_scr1_con0_tri016.mp4,10,1,1,0,16,,,,,
527.1,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,68,246560,0.0-8.0-2.12,stim/test/noi010_act01_scr1_con0_tri016.mp4,10,1,1,0,16,13,A11F3MA5FWH6SJ,10/03/2023,no,
1272.3,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,69,247833,0.0-8.0-3.12,stim/test/noi010_act01_scr1_con0_tri016.mp4,10,1,1,0,16,13,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,70,248840,0.0-8.0-0.13,stim/test/noi020_act10_scr0_con0_tri003.mp4,20,10,0,0,3,,,,,
null,,null,video-keyboard-response,71,255037,0.0-8.0-1.13,stim/test/noi020_act10_scr0_con0_tri003.mp4,20,10,0,0,3,,,,,
913.3,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,72,255952,0.0-8.0-2.13,stim/test/noi020_act10_scr0_con0_tri003.mp4,20,10,0,0,3,14,A11F3MA5FWH6SJ,10/03/2023,yes,
199.8,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,73,256152,0.0-8.0-3.13,stim/test/noi020_act10_scr0_con0_tri003.mp4,20,10,0,0,3,14,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,74,257159,0.0-8.0-0.14,stim/test/noi020_act10_scr1_con1_tri006.mp4,20,10,1,1,6,,,,,
null,,null,video-keyboard-response,75,263370,0.0-8.0-1.14,stim/test/noi020_act10_scr1_con1_tri006.mp4,20,10,1,1,6,,,,,
1117.8,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,76,264488,0.0-8.0-2.14,stim/test/noi020_act10_scr1_con1_tri006.mp4,20,10,1,1,6,15,A11F3MA5FWH6SJ,10/03/2023,yes,
1350.9,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,77,265839,0.0-8.0-3.14,stim/test/noi020_act10_scr1_con1_tri006.mp4,20,10,1,1,6,15,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,78,266849,0.0-8.0-0.15,stim/test/noi005_act05_scr1_con1_tri009.mp4,5,5,1,1,9,,,,,
null,,null,video-keyboard-response,79,273053,0.0-8.0-1.15,stim/test/noi005_act05_scr1_con1_tri009.mp4,5,5,1,1,9,,,,,
1345.5,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,80,274399,0.0-8.0-2.15,stim/test/noi005_act05_scr1_con1_tri009.mp4,5,5,1,1,9,16,A11F3MA5FWH6SJ,10/03/2023,no,
2040.9,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,81,276441,0.0-8.0-3.15,stim/test/noi005_act05_scr1_con1_tri009.mp4,5,5,1,1,9,16,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,82,277446,0.0-8.0-0.16,stim/test/noi005_act01_scr1_con1_tri029.mp4,5,1,1,1,29,,,,,
null,,null,video-keyboard-response,83,282603,0.0-8.0-1.16,stim/test/noi005_act01_scr1_con1_tri029.mp4,5,1,1,1,29,,,,,
2699.9,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,84,285304,0.0-8.0-2.16,stim/test/noi005_act01_scr1_con1_tri029.mp4,5,1,1,1,29,17,A11F3MA5FWH6SJ,10/03/2023,yes,
198.4,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",50,html-keyboard-response,85,285503,0.0-8.0-3.16,stim/test/noi005_act01_scr1_con1_tri029.mp4,5,1,1,1,29,17,A11F3MA5FWH6SJ,10/03/2023,,2
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,86,286512,0.0-8.0-0.17,stim/test/noi005_act03_scr1_con0_tri016.mp4,5,3,1,0,16,,,,,
null,,null,video-keyboard-response,87,292236,0.0-8.0-1.17,stim/test/noi005_act03_scr1_con0_tri016.mp4,5,3,1,0,16,,,,,
788.4,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,88,293025,0.0-8.0-2.17,stim/test/noi005_act03_scr1_con0_tri016.mp4,5,3,1,0,16,18,A11F3MA5FWH6SJ,10/03/2023,no,
1502.1,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,89,294528,0.0-8.0-3.17,stim/test/noi005_act03_scr1_con0_tri016.mp4,5,3,1,0,16,18,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,90,295534,0.0-8.0-0.18,stim/test/noi005_act08_scr0_con0_tri023.mp4,5,8,0,0,23,,,,,
null,,null,video-keyboard-response,91,301265,0.0-8.0-1.18,stim/test/noi005_act08_scr0_con0_tri023.mp4,5,8,0,0,23,,,,,
1638.6,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,92,302904,0.0-8.0-2.18,stim/test/noi005_act08_scr0_con0_tri023.mp4,5,8,0,0,23,19,A11F3MA5FWH6SJ,10/03/2023,yes,
334.6,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",50,html-keyboard-response,93,303239,0.0-8.0-3.18,stim/test/noi005_act08_scr0_con0_tri023.mp4,5,8,0,0,23,19,A11F3MA5FWH6SJ,10/03/2023,,2
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,94,304247,0.0-8.0-0.19,stim/test/noi020_act06_scr1_con0_tri031.mp4,20,6,1,0,31,,,,,
null,,null,video-keyboard-response,95,309403,0.0-8.0-1.19,stim/test/noi020_act06_scr1_con0_tri031.mp4,20,6,1,0,31,,,,,
731.8,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,96,310135,0.0-8.0-2.19,stim/test/noi020_act06_scr1_con0_tri031.mp4,20,6,1,0,31,20,A11F3MA5FWH6SJ,10/03/2023,no,
