rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,stim,noise,action,scramble,communicative,trial_number,index,workerId,interview_date,response,confidence
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,206,544073,0.0-8.0-0.47,stim/test/noi010_act05_scr0_con0_tri006.mp4,10,5,0,0,6,,,,,
null,,null,video-keyboard-response,207,550269,0.0-8.0-1.47,stim/test/noi010_act05_scr0_con0_tri006.mp4,10,5,0,0,6,,,,,
665.9,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,208,550936,0.0-8.0-2.47,stim/test/noi010_act05_scr0_con0_tri006.mp4,10,5,0,0,6,48,A11F3MA5FWH6SJ,10/03/2023,no,
1790.8,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,209,552727,0.0-8.0-3.47,stim/test/noi010_act05_scr0_con0_tri006.mp4,10,5,0,0,6,48,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,210,553744,0.0-8.0-0.48,stim/test/noi005_act03_scr0_con0_tri056.mp4,5,3,0,0,56,,,,,
null,,null,video-keyboard-response,211,559478,0.0-8.0-1.48,stim/test/noi005_act03_scr0_con0_tri056.mp4,5,3,0,0,56,,,,,
410.2,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,212,559888,0.0-8.0-2.48,stim/test/noi005_act03_scr0_con0_tri056.mp4,5,3,0,0,56,49,A11F3MA5FWH6SJ,10/03/2023,no,
1046.2,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,213,560935,0.0-8.0-3.48,stim/test/noi005_act03_scr0_con0_tri056.mp4,5,3,0,0,56,49,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,214,561937,0.0-8.0-0.49,stim/test/noi020_act03_scr0_con0_tri100.mp4,20,3,0,0,100,,,,,
null,,null,video-keyboard-response,215,567661,0.0-8.0-1.49,stim/test/noi020_act03_scr0_con0_tri100.mp4,20,3,0,0,100,,,,,
