"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stim","noise","action","scramble","communicative","trial_number","index","workerId","response"
"1184","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","153","437743","0.0-8.0-3.33","stim/test/noi010_act10_scr1_con1_tri010.mp4","010","10","1","1","010","34","A2PR7FI9TP8XLD","4"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","154","438745","0.0-8.0-0.34","stim/test/noi010_act08_scr1_con1_tri030.mp4","010","08","1","1","030","","",""
"null","","null","video-keyboard-response","155","444454","0.0-8.0-1.34","stim/test/noi010_act08_scr1_con1_tri030.mp4","010","08","1","1","030","","",""
"1366.199999988079","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","156","445821","0.0-8.0-2.34","stim/test/noi010_act08_scr1_con1_tri030.mp4","010","08","1","1","030","35","A2PR7FI9TP8XLD","no"
"852.9000000059605","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","157","446674","0.0-8.0-3.34","stim/test/noi010_act08_scr1_con1_tri030.mp4","010","08","1","1","030","35","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","158","447681","0.0-8.0-0.35","stim/test/noi010_act06_scr1_con1_tri014.mp4","010","06","1","1","014","","",""
"null","","null","video-keyboard-response","159","452819","0.0-8.0-1.35","stim/test/noi010_act06_scr1_con1_tri014.mp4","010","06","1","1","014","","",""
"4785.20000000298","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","160","457605","0.0-8.0-2.35","stim/test/noi010_act06_scr1_con1_tri014.mp4","010","06","1","1","014","36","A2PR7FI9TP8XLD","no"
"2537.3999999910593","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","161","460143","0.0-8.0-3.35","stim/test/noi010_act06_scr1_con1_tri014.mp4","010","06","1","1","014","36","A2PR7FI9TP8XLD","4"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","162","461153","0.0-8.0-0.36","stim/test/noi020_act06_scr0_con1_tri011.mp4","020","06","0","1","011","","",""
"null","","null","video-keyboard-response","163","466283","0.0-8.0-1.36","stim/test/noi020_act06_scr0_con1_tri011.mp4","020","06","0","1","011","","",""
"915.8999999910593","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","164","467199","0.0-8.0-2.36","stim/test/noi020_act06_scr0_con1_tri011.mp4","020","06","0","1","011","37","A2PR7FI9TP8XLD","no"
"1181.6000000089407","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","165","468381","0.0-8.0-3.36","stim/test/noi020_act06_scr0_con1_tri011.mp4","020","06","0","1","011","37","A2PR7FI9TP8XLD","4"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","166","469383","0.0-8.0-0.37","stim/test/noi020_act08_scr0_con1_tri005.mp4","020","08","0","1","005","","",""
